First_name,Last_name,email,Address,Telephone,birth_date,University,major,student_status,year,Ticket_ID,Trouble_Category,Trouble_datelogged,Trouble_customerserviceemployee,Trouble_title,Trouble_description,Trouble_solution,Trouble_status,Trouble_administrator,Cart_created,Cart_updated,CART_book1,CART_book1_purchased_or_rented,CART_book1_quantity,Cart_book2,CART_book2_purchased_or_rented,CART_book2_quantity,ORDER_date_created,ORDER_date_completed,ORDER_book1,ORDER_book2,ORDER_book1_purchased_or_rented,ORDER_book1_quantity,ORDER_book2_purchased_or_rented,ORDER_book2_quantity,ORDER_credit_card,ORDER_creditcard_name,ORDER_creditcard_expiry,ORDER_creditcard_type,ORDER_status,ORDER_ship_type,Book_rating_name,Book_rating
James,Tremblay,JamesTremblay@gmail.com,"1866 Second Drive, Baltimore",4155992671,1/4/1992,Towson,English,UnderGrad,1,,,,,,,,,,,,,,,,,,9/7/2014,9/11/2014,Understanding Intercultural Communication,,rent,,,,4.485E+15,card,3/2/2016,VISA,shipped,1-day,,
Christopher,Roy,ChristopherRoy@gmail.com,"1131 Third Drive, Baltimore",4155992672,4/24/1992,Towson,English,UnderGrad,3,,,,,,,,,,10/2/2014,10/3/2014,English Made Easy Volume One: Learning English through Pictures,rent,1,"Fearless Editing: Crafting Words and Images for Print, Web, and Public Relations",rent,1,,,,,,,,,,,,,,,,
Ronald,Gagnon,RonaldGagnon@gmail.com,"9898 First Drive, Baltimore",4155992673,6/30/1991,Towson,English,UnderGrad,2,,,,,,,,,,10/2/2014,10/3/2014,McGraw-Hill Handbook of English Grammar and Usage,rent,4,"Fearless Editing: Crafting Words and Images for Print, Web, and Public Relations",rent,1,,,,,,,,,,,,,,,,
Mary,Côté,MaryCôté@gmail.com,"9190 Fourth Drive, Baltimore",4155992674,9/4/1990,Towson,English,UnderGrad,3,,,,,,,,,,10/2/2014,10/3/2014,English Made Easy Volume One: Learning English through Pictures,rent,1,,,,,,,,,,,,,,,,,,,
Lisa,Bouchard,LisaBouchard@gmail.com,"8926 Park Drive, Baltimore",4155992675,11/9/1989,Towson,English,UnderGrad,4,,,,,,,,,,10/3/2014,10/4/2014,English Made Easy Volume One: Learning English through Pictures,rent,3,,,,,,,,,,,,,,,,,,,
Michelle,Gauthier,MichelleGauthier@gmail.com,"8186 Fifth Drive, Baltimore",4155992676,1/14/1989,Towson,English,UnderGrad,2,,,,,,,,,,10/4/2014,10/5/2014,English Made Easy Volume One: Learning English through Pictures,rent,1,,,,,,,,,,,,,,,,,,,
John,Morin,JohnMorin@gmail.com,"7644 Main Drive, Baltimore",4155992677,3/21/1988,Towson,English,UnderGrad,1,T121,userprofile,10/24/2014,Joan,forgotten password,password needs to be reset after verification,,new,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel,Lavoie,DanielLavoie@gmail.com,"7283 Sixth Drive, Baltimore",4155992678,5/27/1987,UMBC,English,UnderGrad,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Development of Western Music: A History,4
Anthony,Fortin,AnthonyFortin@gmail.com,"6946 Oak Drive, Washington",4155992679,8/1/1986,UMBC,Computer Science,UnderGrad,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modern Operating Systems,4
Anthony,Fortin,AnthonyFortin@gmail.com,"6946 Oak Drive, Washington",4155992679,8/1/1986,UMBC,Computer Science,UnderGrad,2,,,,,,,,,,,,,,,,,,11/5/2014,11/13/2014,Psychology,The shining,purchase,2,purchase,1,4.485E+15,card,3/1/2016,VISA,shipped,standard,,
Patricia,Gagné,PatriciaGagné@gmail.com,"6377 Seventh Drive, Baltimore",4155992680,10/6/1985,UMBC,History,Grad,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modern Operating Systems,4.5
Nancy,Martínez,NancyMartínez@gmail.com,"6170 Pine Drive, Baltimore",4155992681,12/11/1984,UMBC,History,Grad,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Development of Western Music: A History,3
Laura,García,LauraGarcía@gmail.com,"6103 Maple Drive, Baltimore",4155992682,2/16/1984,UMBC,History,Grad,2,,,,,,,,,,9/8/2014,12/15/2014,McGraw-Hill Handbook of English Grammar and Usage,rent,2,The Development of Western Music: A History,rent,1,,,,,,,,,,,,,,,,
Robert,Hernandez,RobertHernandez@gmail.com,"5644 Cedar Drive, Baltimore",4155992683,4/23/1983,UMBC,History,Grad,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul,González,PaulGonzález@gmail.com,"5524 Eighth Drive, Baltimore",4155992684,6/28/1982,UMBC,History,Grad,1,,,,,,,,,,11/7/2014,12/16/2014,The Development of Western Music: A History,rent,1,McGraw-Hill Handbook of English Grammar and Usage,rent,1,,,,,,,,,,,,,,,,
Kevin,López,KevinLópez@gmail.com,"5233 Elm Drive, Baltimore",4155992685,9/2/1981,UMBC,Sociology,Grad,2,T120,products,8/31/2014,Joan,pages missing from the book,chapter 5 of the book i ordered is missing,,new,,,,,,,,,,,,,,,,,,,,,,,,,
Linda,Rodríguez,LindaRodríguez@gmail.com,"5202 View Drive, Baltimore",4155992686,11/7/1980,UMBC,Sociology,Grad,3,,,,,,,,,,5/1/2014,10/14/2014,linear algebra,rent,1,Applied Econometrics,buy,2,,,,,,,,,,,,,,,,
Karen,Pérez,KarenPérez@gmail.com,"4974 Washington Drive, Baltimore",4155992687,1/13/1980,UMCP,Sociology,Grad,5,,,,,,,,,,,,,,,,,,11/4/2014,11/12/2014,Psychology,,purchase,2,,,4.485E+15,card,3/1/2016,VISA,shipped,standard,,
Sarah,Sánchez,SarahSánchez@gmail.com,"4908 Ninth Drive, Baltimore",4155992688,3/20/1979,UMCP,Sociology,Grad,2,,,,,,,,,,1/1/2014,6/17/2014,Applied Econometrics,buy,2,,,,,,,,,,,,,,,,,,,
Michael,Ramírez,MichaelRamírez@gmail.com,"4901 Lake Drive, Baltimore",4155992689,5/25/1978,UMCP,Sociology,Grad,4,,,,,,,,,,,,,,,,,,10/6/2014,,Guyton and Hall Textbook of Medical Physiology,Modern Operating Systems,purchase,1,purchase,1,4.55649E+15,plastic,5/1/2015,VISA,shipping,2-day,,
Mark,Flores,MarkFlores@gmail.com,"4877 Hill Drive, Baltimore",4155992690,7/30/1977,UMCP,History,Grad,2,,,,,,,,,,2/1/2014,1/2/2014,Christianity 101: A Textbook of Catholic Theology,buy,3,Pearson Textbook Reader: Reading in Applied and Academic Fields,rent,1,,,,,,,,,,,,,,,,
Mark,Flores,MarkFlores@gmail.com,"4877 Hill Drive, Baltimore",4155992691,7/30/1977,UMCP,History,Grad,2,T101,userprofile,7/15/2014,Patricia,unable to log in,password reset needed,,new,,,,,,,,,,,,,,,,,,,,,,,,,
Mark,Flores,MarkFlores@gmail.com,"4877 Hill Drive, Baltimore",4155992692,7/30/1977,UMCP,History,Grad,2,,,,,,,,,,,,,,,,,,7/4/2014,,Pearson Textbook Reader: Reading in Applied and Academic Fields,,rent,,,,4.92977E+15,creditc,9/1/2020,MASTERCARD,cancelled,standard,,
Michael,Ramírez,MichaelRamírez@gmail.com,"4901 Lake Drive, Baltimore",4155992693,5/25/1978,UMCP,Sociology,Grad,4,T102,products,8/23/2014,Julian,bad / damaged product recieved ,,,new,,,,,,,,,,,,,,,,,,,,,,,,,
Michael,Ramírez,MichaelRamírez@gmail.com,"4901 Lake Drive, Baltimore",4155992694,5/25/1978,UMCP,Sociology,Grad,4,T114,userprofile,9/5/2014,Julian,unable to edit details on profile,,,new,,,,,,,,,,,,,,,,,,,,,,,,,
Michael,Ramírez,MichaelRamírez@gmail.com,"4901 Lake Drive, Baltimore",4155992695,5/25/1978,UMCP,Sociology,Grad,4,,,,,,,,,,,,,,,,,,10/13/2014,,Modern Operating Systems,,purchase,1,,,4.87868E+15,mycard,4/1/2019,VISA,new,1-day,,
Paul,González,PaulGonzález@gmail.com,"5524 Eighth Drive, Baltimore",4155992696,6/28/1982,UMBC,History,Grad,1,,,,,,,,,,,,,,,,,,10/6/2014,10/7/2014,Psychology,,purchase,1,,,4.485E+15,card,3/1/2016,VISA,shipped,standard,,
Paul,González,PaulGonzález@gmail.com,"5524 Eighth Drive, Baltimore",4155992697,6/28/1982,UMBC,History,Grad,1,,,,,,,,,,,,,,,,,,9/23/2014,9/24/2014,Pearson Textbook Reader: Reading in Applied and Academic Fields,,rent,1,,,4.485E+15,card,3/1/2016,VISA,shipped,1-day,,
