instructor_fname,instructor_lname,Department,email,Courses,year,semester,University,book,type,purchase_type,price,quantity,authors,keywords,category,lang,publishdate,ISBN,ISBN-13,publisher,edition_number,format,weight_pound,ratings
Julia,Lambert,Visual Arts,julia.lambert@towson.edu,Acrylic painting,3,Fall,Towson,Acrylic Painting Step by Step: Discover all the basics and a range of special techniques for creating your own masterpieces in acrylic,new,buy,3.45,10,Tom Swimm,Tom Swimm Acrylic Painting Step by Step: Discover all the basics and a range of special techniques for creating your own masterpieces in acrylic Acrylic painting,"Visual Arts,Acrylic painting",English,2009,0321558235,978-0321558237,Benjamin Cummings,9,hardcover,0.3,4.5
Jessica,Glover,Visual Arts,jessica.glover@umcp.edu,Acrylic painting,4,Fall,UMCP,Acrylic Painting Step by Step: Discover all the basics and a range of special techniques for creating your own masterpieces in acrylic,new,buy,3.45,10,Tom Swimm,Tom Swimm Acrylic Painting Step by Step: Discover all the basics and a range of special techniques for creating your own masterpieces in acrylic Acrylic painting,"Visual Arts,Acrylic painting",English,2009,0321558235,978-0321558237,Benjamin Cummings,9,hardcover,0.3,4.5
Connor,Edmunds,Mathematics and Statistics,connor.edmunds@towson.edu,linear algebra,2,Fall,Towson,linear algebra,old,rent,13,4,Ron Larson,Ron Larson linear algebra linear algebra,"Mathematics and Statistics,linear algebra",English,2002,1567223422,978-1506606849,Saunders,4,paperback,0.43,3.5
Ian,Gibson,Mechanical Engineering,ian.gibson@towson.edu,Wing Design,1,Fall,Towson,Understanding Flight,old,rent,17,3,Scott Eberhardt,Scott Eberhardt Understanding Flight Wing Design,"Mechanical Engineering,Wing Design",English,2001,1685305545,978-1620026159,Touchstone,4,paperback,0.23,3
Alexander,Clarkson,English Language Institute,alexander.clarkson@umbc.edu,English and International Students,4,Fall,UMBC,English Made Easy Volume One: Learning English through Pictures,new,rent,19,4,Jonathan Crichton,Jonathan Crichton English Made Easy Volume One: Learning English through Pictures English and International Students,"English Language Institute,English and International Students",English,2002,1212977053,978-1166348920,Worth Publishers,5,paperback,0.8,4
Felicity,Buckland,Management of Aging Services,felicity.buckland@towson.edu,Health and Age,4,Fall,Towson,The New Politics of Old Age Policy,old,rent,19.83,3,Robert B. Hudson,Robert B. Hudson The New Politics of Old Age Policy Health and Age,"Management of Aging Services,Health and Age",English,2002,1449141299,978-1393187540,Plume,4,paperback,0.56,4.5
Lucas,Payne,Philosophy,lucas.payne@towson.edu,Ancient Greek Philosophy,2,Fall,Towson,Ancient Greek Philosophy: From the Presocratics to the Hellenistic Philosophers,old,rent,20,2,Thomas A. Blackson,Thomas A. Blackson Ancient Greek Philosophy: From the Presocratics to the Hellenistic Philosophers Ancient Greek Philosophy,"Philosophy,Ancient Greek Philosophy",English,1995,2157634037,978-2073703398,Benjamin Cummings,3,paperback,0.3,4
Emma,Kelly,Emergency Health Services,emma.kelly@umbc.edu,Vaccination,4,Fall,UMBC,Epidemiology and Prevention of Vaccine-Preventable Diseases,new,rent,20,6,"William Atkinson, Charles (Skip) Wolfe","William Atkinson, Charles (Skip) Wolfe Epidemiology and Prevention of Vaccine-Preventable Diseases Vaccination","Emergency Health Services,Vaccination",English,2002,9768128075,978-9395103013,Touchstone,5,hardcover,0.9,4
Amelia,Cameron,Media and Communication Studies,amelia.cameron@towson.edu,Print Journalism ,3,Fall,Towson,"Fearless Editing: Crafting Words and Images for Print, Web, and Public Relations",old,rent,20,2,Carolyn Dale,"Carolyn Dale Fearless Editing: Crafting Words and Images for Print, Web, and Public Relations Print Journalism ","Media and Communication Studies,Print Journalism ",English,1993,1803387668,978-1733445469,Benjamin Cummings,4,paperback,0.6,3.5
Isaac,Anderson,Pre-Allied Health,isaac.anderson@umcp.edu,Introduction to Academic Reading,2,Fall,UMCP,Pearson Textbook Reader: Reading in Applied and Academic Fields,old,rent,20,3,Dawn Lee,Dawn Lee Pearson Textbook Reader: Reading in Applied and Academic Fields Introduction to Academic Reading,"Pre-Allied Health,Introduction to Academic Reading",English,1990,2275716160,978-2187122708,McDougal Littel,3,paperback,0.9,4
